=== pile(k=4, random_pickup=True) ===
-- trials=200 --
trials= 200 | step=  1 | KS=0.256 | inv_mean=506.4 | runs_mean=4.00
trials= 200 | step=  2 | KS=0.073 | inv_mean=639.0 | runs_mean=16.00
trials= 200 | step=  3 | KS=0.050 | inv_mean=646.9 | runs_mean=14.08
trials= 200 | step=  5 | KS=0.045 | inv_mean=670.2 | runs_mean=25.00
trials= 200 | step= 10 | KS=0.100 | inv_mean=657.4 | runs_mean=26.44
trials= 200 | step= 20 | KS=0.046 | inv_mean=670.3 | runs_mean=26.45
trials= 200 | step= 30 | KS=0.046 | inv_mean=665.7 | runs_mean=26.62
trials= 200 | step= 50 | KS=0.043 | inv_mean=665.0 | runs_mean=26.43
trials= 200 | step= 80 | KS=0.064 | inv_mean=665.8 | runs_mean=26.40
trials= 200 | step=120 | KS=0.052 | inv_mean=655.1 | runs_mean=26.59
trials= 200 | step=160 | KS=0.044 | inv_mean=663.1 | runs_mean=26.66
trials= 200 | step=196 | KS=0.036 | inv_mean=664.5 | runs_mean=26.56
-- trials=800 --
trials= 800 | step=  1 | KS=0.256 | inv_mean=507.0 | runs_mean=4.00
trials= 800 | step=  2 | KS=0.064 | inv_mean=639.1 | runs_mean=16.00
trials= 800 | step=  3 | KS=0.043 | inv_mean=644.7 | runs_mean=13.99
trials= 800 | step=  5 | KS=0.025 | inv_mean=659.6 | runs_mean=24.61
trials= 800 | step= 10 | KS=0.036 | inv_mean=658.4 | runs_mean=26.54
trials= 800 | step= 20 | KS=0.027 | inv_mean=664.8 | runs_mean=26.50
trials= 800 | step= 30 | KS=0.033 | inv_mean=667.0 | runs_mean=26.41
trials= 800 | step= 50 | KS=0.026 | inv_mean=663.6 | runs_mean=26.50
trials= 800 | step= 80 | KS=0.024 | inv_mean=664.6 | runs_mean=26.36
trials= 800 | step=120 | KS=0.022 | inv_mean=663.1 | runs_mean=26.51
trials= 800 | step=160 | KS=0.025 | inv_mean=660.8 | runs_mean=26.45
trials= 800 | step=196 | KS=0.031 | inv_mean=666.4 | runs_mean=26.50
-- trials=2000 --
trials=2000 | step=  1 | KS=0.237 | inv_mean=507.3 | runs_mean=4.00
trials=2000 | step=  2 | KS=0.058 | inv_mean=639.1 | runs_mean=16.00
trials=2000 | step=  3 | KS=0.021 | inv_mean=647.0 | runs_mean=13.97
trials=2000 | step=  5 | KS=0.021 | inv_mean=661.2 | runs_mean=24.70
trials=2000 | step= 10 | KS=0.027 | inv_mean=661.0 | runs_mean=26.54
trials=2000 | step= 20 | KS=0.012 | inv_mean=664.7 | runs_mean=26.52
trials=2000 | step= 30 | KS=0.028 | inv_mean=665.8 | runs_mean=26.47
trials=2000 | step= 50 | KS=0.016 | inv_mean=663.9 | runs_mean=26.43
trials=2000 | step= 80 | KS=0.011 | inv_mean=664.8 | runs_mean=26.50
trials=2000 | step=120 | KS=0.018 | inv_mean=661.8 | runs_mean=26.49
trials=2000 | step=160 | KS=0.026 | inv_mean=662.3 | runs_mean=26.54
trials=2000 | step=196 | KS=0.017 | inv_mean=663.5 | runs_mean=26.46

=== pile(k=7, random_pickup=True) ===
-- trials=200 --
trials= 200 | step=  1 | KS=0.135 | inv_mean=577.4 | runs_mean=7.00
trials= 200 | step=  2 | KS=0.064 | inv_mean=709.1 | runs_mean=40.22
trials= 200 | step=  3 | KS=0.056 | inv_mean=662.2 | runs_mean=28.05
trials= 200 | step=  5 | KS=0.050 | inv_mean=670.3 | runs_mean=26.05
trials= 200 | step= 10 | KS=0.080 | inv_mean=667.2 | runs_mean=26.72
trials= 200 | step= 20 | KS=0.052 | inv_mean=667.6 | runs_mean=26.27
trials= 200 | step= 30 | KS=0.052 | inv_mean=663.6 | runs_mean=26.55
trials= 200 | step= 50 | KS=0.066 | inv_mean=663.6 | runs_mean=26.80
trials= 200 | step= 80 | KS=0.039 | inv_mean=663.6 | runs_mean=26.36
trials= 200 | step=120 | KS=0.053 | inv_mean=664.9 | runs_mean=26.48
trials= 200 | step=160 | KS=0.028 | inv_mean=669.8 | runs_mean=26.70
trials= 200 | step=196 | KS=0.101 | inv_mean=662.7 | runs_mean=26.58
-- trials=800 --
trials= 800 | step=  1 | KS=0.138 | inv_mean=578.5 | runs_mean=7.00
trials= 800 | step=  2 | KS=0.023 | inv_mean=709.6 | runs_mean=40.19
trials= 800 | step=  3 | KS=0.030 | inv_mean=666.6 | runs_mean=27.98
trials= 800 | step=  5 | KS=0.020 | inv_mean=666.9 | runs_mean=25.87
trials= 800 | step= 10 | KS=0.037 | inv_mean=662.8 | runs_mean=26.52
trials= 800 | step= 20 | KS=0.013 | inv_mean=664.3 | runs_mean=26.52
trials= 800 | step= 30 | KS=0.041 | inv_mean=660.4 | runs_mean=26.51
trials= 800 | step= 50 | KS=0.023 | inv_mean=662.0 | runs_mean=26.66
trials= 800 | step= 80 | KS=0.016 | inv_mean=660.4 | runs_mean=26.52
trials= 800 | step=120 | KS=0.023 | inv_mean=666.2 | runs_mean=26.55
trials= 800 | step=160 | KS=0.026 | inv_mean=665.8 | runs_mean=26.51
trials= 800 | step=196 | KS=0.028 | inv_mean=658.5 | runs_mean=26.54
-- trials=2000 --
trials=2000 | step=  1 | KS=0.135 | inv_mean=579.0 | runs_mean=7.00
trials=2000 | step=  2 | KS=0.024 | inv_mean=706.7 | runs_mean=40.32
trials=2000 | step=  3 | KS=0.012 | inv_mean=665.7 | runs_mean=27.77
trials=2000 | step=  5 | KS=0.030 | inv_mean=662.8 | runs_mean=25.89
trials=2000 | step= 10 | KS=0.028 | inv_mean=661.5 | runs_mean=26.46
trials=2000 | step= 20 | KS=0.016 | inv_mean=662.9 | runs_mean=26.43
trials=2000 | step= 30 | KS=0.016 | inv_mean=662.2 | runs_mean=26.57
trials=2000 | step= 50 | KS=0.014 | inv_mean=662.9 | runs_mean=26.58
trials=2000 | step= 80 | KS=0.027 | inv_mean=663.1 | runs_mean=26.52
trials=2000 | step=120 | KS=0.022 | inv_mean=666.0 | runs_mean=26.53
trials=2000 | step=160 | KS=0.018 | inv_mean=664.6 | runs_mean=26.49
trials=2000 | step=196 | KS=0.023 | inv_mean=661.4 | runs_mean=26.46

=== pile(k=10, random_pickup=True) ===
-- trials=200 --
trials= 200 | step=  1 | KS=0.096 | inv_mean=607.1 | runs_mean=10.00
trials= 200 | step=  2 | KS=0.068 | inv_mean=686.6 | runs_mean=34.64
trials= 200 | step=  3 | KS=0.034 | inv_mean=667.9 | runs_mean=26.68
trials= 200 | step=  5 | KS=0.038 | inv_mean=664.6 | runs_mean=26.38
trials= 200 | step= 10 | KS=0.039 | inv_mean=665.2 | runs_mean=26.45
trials= 200 | step= 20 | KS=0.096 | inv_mean=661.3 | runs_mean=26.55
trials= 200 | step= 30 | KS=0.035 | inv_mean=666.4 | runs_mean=26.73
trials= 200 | step= 50 | KS=0.100 | inv_mean=656.2 | runs_mean=26.64
trials= 200 | step= 80 | KS=0.087 | inv_mean=670.3 | runs_mean=26.43
trials= 200 | step=120 | KS=0.034 | inv_mean=658.6 | runs_mean=26.59
trials= 200 | step=160 | KS=0.037 | inv_mean=656.8 | runs_mean=26.43
trials= 200 | step=196 | KS=0.073 | inv_mean=668.4 | runs_mean=26.62
-- trials=800 --
trials= 800 | step=  1 | KS=0.097 | inv_mean=607.5 | runs_mean=10.00
trials= 800 | step=  2 | KS=0.029 | inv_mean=685.9 | runs_mean=34.85
trials= 800 | step=  3 | KS=0.015 | inv_mean=665.9 | runs_mean=26.92
trials= 800 | step=  5 | KS=0.036 | inv_mean=665.5 | runs_mean=26.38
trials= 800 | step= 10 | KS=0.031 | inv_mean=664.5 | runs_mean=26.50
trials= 800 | step= 20 | KS=0.038 | inv_mean=658.8 | runs_mean=26.62
trials= 800 | step= 30 | KS=0.023 | inv_mean=664.5 | runs_mean=26.56
